ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Type,Fuel Type,Vent Type,Storage Volume (gallons),Tank Height (in.),Height to Vent (in.),Tank Diameter (in.),Vent Size (in.),Vent Size 2 (in.),Max Heat Output (kBtu/hr),Input Rate  - Gas-fired (kBtu/hr),Thermal Efficiency (TE),Standby Loss (Btu/hr),Electric Input - Electric Heat Pump (kW),Coefficient of Performance (COPh),Optional Status and Messaging Features,Date Available On Market,Date Certified,Markets,CB Model Identifier
3388144,NY Thermal Inc.,NTI,Trinity,LX700WH,,,Gas Tankless,Gas,Direct Vent,5,,,,6,,672,700,0.96,,,,,11/06/2014,02/02/2024,"United States, Canada",ES_1016238_LX700WH_09042020130728_2613185
3388145,NY Thermal Inc.,NTI,Trinity,LX800WH,,,Gas Tankless,Gas,Direct Vent,5,,,,6,,768,800,0.96,,,,,11/06/2014,02/02/2024,"United States, Canada",ES_1016238_LX800WH_09042020130728_3778769
3388146,NY Thermal Inc.,NTI,Trinity,LX600WH,,,Gas Tankless,Gas,Direct Vent,4,,,,4,,576,600,0.96,,,,,11/06/2014,02/02/2024,"United States, Canada",ES_1016238_LX600WH_09042020131320_4716245
3388147,NY Thermal Inc.,NTI,Trinity,LX300WH,,,Gas Tankless,"Gas,Propane",Direct Vent,2,,,,4,,,275,0.96,,,,,11/06/2014,02/02/2024,"United States, Canada",ES_1016238_LX300WH_09042020131320_8993267
3423400,Thermal Solutions Products LLC,Velocity Boiler Works,AMPW,PHXW400,,,Gas Tankless,"Gas,Propane",,4,,,,4,,,399,0.98,,,,,09/15/2022,04/17/2024,"United States, Canada",ES_1141425_PHXW400_03112024090504_9723237
3423401,Thermal Solutions Products LLC,Velocity Boiler Works,AMPW,PHXW500,,,Gas Tankless,"Gas,Propane",,5,,,,4,,,500,0.98,,,,,09/15/2022,04/17/2024,"United States, Canada",ES_1141425_PHXW500_03112024090504_3630260
3423402,Thermal Solutions Products LLC,Velocity Boiler Works,AMPW,PHXW650,,,Gas Tankless,"Gas,Propane",,6,,,,6,,,650,0.98,,,,,09/15/2022,04/17/2024,"United States, Canada",ES_1141425_PHXW650_03112024090504_7983344
3423403,Thermal Solutions Products LLC,Velocity Boiler Works,AMPW,PHXW800,,,Gas Tankless,"Gas,Propane",,7,,,,6,,,800,0.98,,,,,09/15/2022,04/17/2024,"United States, Canada",ES_1141425_PHXW800_03112024090505_5027533
3423404,Thermal Solutions Products LLC,Velocity Boiler Works,AMPW,PHXW1000L,,,Gas Tankless,"Gas,Propane",,9,,,,6,,,999,0.98,,,,,09/15/2022,04/17/2024,"United States, Canada",ES_1141425_PHXW1000L_03112024090505_2949224
3477721,Rheem-Ruud Manufacturing,Raypak,Triton,GHE80SU-130,,,Gas Storage,"Gas,Propane",Power Direct Vent,80,51,64,23.9,3,,,130,0.98,950,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE80SU-130_02172021122231_8956195
