ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Type,UPC,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Connected Functionality,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2024 Criteria
2388051,Kenmore,111.7121####,",,#:0~9; 7121#,7121#,-	First ""#"" means that door color : 0-9",Top Freezer,,Automatic,No,No,No,Yes,No,66.7,32.9,20.8,25.2,477,521,10,No,10/20/2021,11/05/2021,"United States, Canada",ES_15649_111.7121####_110520210254371_3493157,Yes
2272956,Kenmore,111.7121*61*,,Top Freezer,,Automatic,No,No,No,Yes,Yes,66,32.9,20.8,25.3,472,522,11,No,07/31/2016,07/22/2016,"United States, Canada",ES_15649_111.7121*61*_07222016052808_5288216,Yes
2636115,Kenmore,6133#,",,# refer to color",Top Freezer,,Automatic,No,No,No,No,No,66.4,32.7,20.5,24.2,385,429,10,No,08/16/2023,08/17/2023,"United States, Canada",ES_15649_6133#_081720230733384_3584819,Yes
2636114,Kenmore,6231#,",,# refer to color",Top Freezer,,Automatic,No,No,No,No,No,66.4,29.5,18.2,21.4,365,406,10,No,08/16/2023,08/17/2023,"United States, Canada",ES_15649_6231#_081720230733417_2471855,Yes
2636159,Kenmore,7133#,",,# refer to color",Top Freezer,,Automatic,No,No,No,Yes,No,66.4,32.7,20.4,24.1,469,512,10,No,08/17/2023,08/21/2023,"United States, Canada",ES_15649_7133#_082120230221167_6510292,Yes
2636158,Kenmore,7231#,",,# refer to color",Top Freezer,,Automatic,No,No,No,Yes,No,66.4,29.5,18.1,21.3,448,490,10,No,08/17/2023,08/21/2023,"United States, Canada",ES_15649_7231#_082120230230204_7787208,Yes
2636116,Kenmore,899.6133#32#,",,1st # refer to color, 2nd # is a revision number",Top Freezer,,Automatic,No,No,No,No,No,66.4,32.7,20.5,24.2,385,429,10,No,08/16/2023,08/17/2023,"United States, Canada",ES_15649_899.6133#32#_081720230733285_6279879,Yes
2636113,Kenmore,899.6231#32#,",,1st # refer to color, 2nd # is a revision number",Top Freezer,,Automatic,No,No,No,No,No,66.4,29.5,18.2,21.4,365,406,10,No,08/16/2023,08/17/2023,"United States, Canada",ES_15649_899.6231#32#_081720230733743_3219652,Yes
2636160,Kenmore,899.7133#32#,",,1st # refer to color, 2nd # is a revision number",Top Freezer,,Automatic,No,No,No,Yes,No,66.4,32.7,20.4,24.1,469,512,10,No,08/17/2023,08/21/2023,"United States, Canada",ES_15649_899.7133#32#_082120230217763_9135085,Yes
2397365,LG,LHTNS2403*,,Top Freezer,195174042922,Automatic,No,No,No,No,No,69,33,23.8,28.5,417,464,10,No,06/06/2022,05/25/2022,"United States, Canada",ES_1118034_LHTNS2403*_06082022123630_80129433,Yes
